Cycle,Time,Traditional Scenario,Num Autonomous Bikes,Autonomous Bikes Battery Life,AB PickUp Speed,Num Cars,Agent,Trip Served,Mode,Wait Time (min),Departure Time,Arrival Time,Duration (min),Origin [lat],Origin [lon],Destination [lat],Destination [lon],Distance (m)
1579,00:52:38,false,120,35000.0,2.2222222222222223,0,package0,true,1,1.8,00:22:50,00:52:38,29.8,-71.086885,42.37212699999988,-71.12392810591183,42.388292994269825,3572.407063507447
1855,01:01:50,false,120,35000.0,2.2222222222222223,0,package1,true,1,0.6333333333333333,00:59:40,01:01:50,2.1666666666666665,-71.11851899999999,42.37028199999989,-71.11994,42.37206899999988,245.02946860035706
2054,01:08:28,false,120,35000.0,2.2222222222222223,0,package2,true,1,2.3,01:01:20,01:08:28,7.133333333333334,-71.119396,42.37309199999988,-71.113837,42.37768999999988,744.5826635334597
6490,03:36:20,false,120,35000.0,2.2222222222222223,0,package3,true,1,0.8,03:29:50,03:36:20,6.5,-71.109872,42.36911099999988,-71.11631324605207,42.37241865360796,792.4082112298787
8338,04:37:56,false,120,35000.0,2.2222222222222223,0,package4,true,1,0.9666666666666667,04:29:00,04:37:56,8.933333333333334,-71.120337,42.389246999999884,-71.12309320793717,42.38225684188844,831.0074935570913
8870,04:55:40,false,120,35000.0,2.2222222222222223,0,package5,true,1,2.2333333333333334,04:48:16,04:55:40,7.4,-71.102333,42.36434299999986,-71.10748925917198,42.357586756743466,919.8938848750672
9722,05:24:04,false,120,35000.0,2.2222222222222223,0,package6,true,1,3.8,05:00:50,05:24:04,23.233333333333334,-71.075326,42.368018999999876,-71.10507469089406,42.36266151562827,2612.31011691558
9769,05:25:38,false,120,35000.0,2.2222222222222223,0,package8,true,1,0.8666666666666667,05:08:54,05:25:38,16.733333333333334,-71.121151,42.37418899999989,-71.1108903,42.359209899999875,1906.2626410251062
9834,05:27:48,false,120,35000.0,2.2222222222222223,0,package9,true,1,0.9666666666666667,05:21:00,05:27:48,6.8,-71.095093,42.37315399999987,-71.09801169746027,42.37073626287468,700.0976099985592
9847,05:28:14,false,120,35000.0,2.2222222222222223,0,package7,true,1,0.8333333333333334,05:02:52,05:28:14,25.366666666666667,-71.116945,42.37270799999988,-71.08187540803797,42.372206568575464,2932.689460788504
9980,05:32:40,false,120,35000.0,2.2222222222222223,0,package10,true,1,6.366666666666666,05:29:24,05:32:40,3.2666666666666666,-71.09047,42.36164899999987,-71.0876848536742,42.36321885202476,461.7569288167385
10071,05:35:42,false,120,35000.0,2.2222222222222223,0,package11,true,1,1.7,05:29:44,05:35:42,5.966666666666667,-71.095093,42.37315399999987,-71.09937807321928,42.37015937794567,689.8370024718132
10118,05:37:16,false,120,35000.0,2.2222222222222223,0,package13,true,1,1.8333333333333333,05:35:52,05:37:16,1.4,-71.116945,42.37270799999988,-71.11631324605207,42.37241865360796,131.19062653062053
10197,05:39:54,false,120,35000.0,2.2222222222222223,0,package12,true,1,4.966666666666667,05:35:00,05:39:54,4.9,-71.09047,42.36164899999987,-71.08743,42.360622999999876,472.27501136883564
10491,05:49:42,false,120,35000.0,2.2222222222222223,0,package16,true,1,3.066666666666667,05:41:06,05:49:42,8.6,-71.09047,42.36164899999987,-71.082562,42.365951999999865,1041.7194727697706
10521,05:50:42,false,120,35000.0,2.2222222222222223,0,package15,true,1,5.1,05:43:08,05:50:42,7.566666666666666,-71.095093,42.37315399999987,-71.08906396371064,42.368771159593265,788.085883142413
10532,05:51:04,false,120,35000.0,2.2222222222222223,0,package14,true,1,4.833333333333333,05:40:52,05:51:04,10.2,-71.095093,42.37315399999987,-71.10712890649259,42.369591906262954,1150.3451007168774
10578,05:52:36,false,120,35000.0,2.2222222222222223,0,package17,true,1,5.966666666666667,05:44:00,05:52:36,8.6,-71.09047,42.36164899999987,-71.082562,42.365951999999865,1041.7194727697706
10620,05:54:00,false,120,35000.0,2.2222222222222223,0,package18,true,1,3.8666666666666667,05:47:54,05:54:00,6.1,-71.09047,42.36164899999987,-71.09384525746042,42.35731286087455,684.2537750985305
10687,05:56:14,false,120,35000.0,2.2222222222222223,0,package20,true,1,3.1,05:53:08,05:56:14,3.1,-71.096228,42.36132899999988,-71.09995580788264,42.36284920658887,391.31370454172213
10719,05:57:18,false,120,35000.0,2.2222222222222223,0,package21,true,1,1.5,05:52:32,05:57:18,4.766666666666667,-71.08203500000002,42.36451199999987,-71.0861518,42.36727539999986,483.25504537539837
10720,05:57:20,false,120,35000.0,2.2222222222222223,0,package22,true,1,3.8333333333333335,05:54:52,05:57:20,2.466666666666667,-71.07982,42.372245999999876,-71.07753522467306,42.37180641535293,277.0516925573418
10721,05:57:22,false,120,35000.0,2.2222222222222223,0,package27,true,1,1.9,05:55:56,05:57:22,1.4333333333333333,-71.08203500000002,42.36451199999987,-71.081379,42.364368999999876,105.69875945428646
10789,05:59:38,false,120,35000.0,2.2222222222222223,0,package19,true,1,6.466666666666667,05:51:30,05:59:38,8.133333333333333,-71.095093,42.37315399999987,-71.0961805615228,42.36580942545719,997.7501226866794
10929,06:04:18,false,120,35000.0,2.2222222222222223,0,package24,true,1,5.533333333333333,05:57:34,06:04:18,6.733333333333333,-71.09047,42.36164899999987,-71.08403299999999,42.36430499999988,790.2106440810712
10992,06:06:24,false,120,35000.0,2.2222222222222223,0,package31,true,1,2.1,06:05:08,06:06:24,1.2666666666666666,-71.08259,42.36490999999987,-71.08192419192879,42.36602282408538,159.83687730650792
11019,06:07:18,false,120,35000.0,2.2222222222222223,0,package23,true,1,1.9,05:53:56,06:07:18,13.366666666666667,-71.08203500000002,42.36451199999987,-71.097672,42.36956499999988,1464.8087462789924
11121,06:10:42,false,120,35000.0,2.2222222222222223,0,package33,true,1,0.6,06:10:38,06:10:42,0.06666666666666667,-71.120423,42.37202699999988,-71.11994,42.37206899999988,48.18097637980216
11129,06:10:58,false,120,35000.0,2.2222222222222223,0,package29,true,1,2.2666666666666666,06:04:18,06:10:58,6.666666666666667,-71.11823199999999,42.38838799999988,-71.11244918435035,42.3821615527478,864.9930749628223
11187,06:12:54,false,120,35000.0,2.2222222222222223,0,package26,true,1,6.933333333333334,06:00:58,06:12:54,11.933333333333334,-71.095093,42.37315399999987,-71.08357027180823,42.36852678416375,1251.0367616210206
11308,06:16:56,false,120,35000.0,2.2222222222222223,0,package34,true,1,2.033333333333333,06:13:04,06:16:56,3.8666666666666667,-71.083318,42.37128099999988,-71.08160981849095,42.368220244450875,387.16222678872185
11393,06:19:46,false,120,35000.0,2.2222222222222223,0,package25,true,1,1.1666666666666667,05:55:12,06:19:46,24.566666666666666,-71.119372,42.38941499999988,-71.13475799999999,42.373949999999866,2342.486213993715
11460,06:22:00,false,120,35000.0,2.2222222222222223,0,package36,true,1,1.2333333333333334,06:20:16,06:22:00,1.7333333333333334,-71.10085699999999,42.36402499999988,-71.099631,42.36357899999989,154.9103271090131
11500,06:23:20,false,120,35000.0,2.2222222222222223,0,package32,true,1,5.966666666666667,06:12:00,06:23:20,11.333333333333334,-71.09047,42.36164899999987,-71.103274,42.354987999999885,1329.7944172269022
11520,06:24:00,false,120,35000.0,2.2222222222222223,0,package38,true,1,1.9333333333333333,06:20:58,06:24:00,3.033333333333333,-71.07982,42.372245999999876,-71.08106080687463,42.36996724548553,350.59749138542963
11614,06:27:08,false,120,35000.0,2.2222222222222223,0,package28,true,1,2.2333333333333334,06:03:16,06:27:08,23.866666666666667,-71.103734,42.365674999999875,-71.13205575888934,42.381922062201426,2977.4978288054144
11667,06:28:54,false,120,35000.0,2.2222222222222223,0,package44,true,1,2.4,06:27:26,06:28:54,1.4666666666666666,-71.1114,42.36962799999989,-71.1131418,42.36995179999989,196.786817989578
11702,06:30:04,false,120,35000.0,2.2222222222222223,0,package43,true,1,2.7666666666666666,06:27:48,06:30:04,2.2666666666666666,-71.077794,42.36981699999988,-71.0773,42.37058199999989,148.86398655168264
11723,06:30:46,false,120,35000.0,2.2222222222222223,0,package30,true,1,3.6666666666666665,06:05:42,06:30:46,25.066666666666666,-71.08247,42.363322999999895,-71.11301374746243,42.35840397355081,2752.101498083049
11729,06:30:58,false,120,35000.0,2.2222222222222223,0,package46,true,1,2.1666666666666665,06:29:12,06:30:58,1.7666666666666666,-71.1114,42.36962799999989,-71.11003869562896,42.37038224387264,190.48263533199685
11792,06:33:04,false,120,35000.0,2.2222222222222223,0,package45,true,1,4.466666666666667,06:29:30,06:33:04,3.566666666666667,-71.118965,42.373370999999885,-71.117438,42.371218999999876,354.5232344332372
11808,06:33:36,false,120,35000.0,2.2222222222222223,0,package40,true,1,3.3666666666666667,06:26:24,06:33:36,7.2,-71.071562,42.367712999999895,-71.07850063191331,42.366242412403096,803.930468657746
11867,06:35:34,false,120,35000.0,2.2222222222222223,0,package39,true,1,1.5666666666666667,06:20:36,06:35:34,14.966666666666667,-71.118965,42.373370999999885,-71.0981302081539,42.36959949085267,1788.5336026710502
11958,06:38:36,false,120,35000.0,2.2222222222222223,0,package50,true,1,2.2333333333333334,06:34:16,06:38:36,4.333333333333333,-71.149096,42.37545099999986,-71.14984064934278,42.37846105462302,491.21488330087493
12034,06:41:08,false,120,35000.0,2.2222222222222223,0,package49,true,1,6.533333333333333,06:36:34,06:41:08,4.566666666666666,-71.06882399999999,42.36985899999988,-71.07410300000001,42.37171299999988,549.898927564703
12072,06:42:24,false,120,35000.0,2.2222222222222223,0,package35,true,1,3.5,06:18:32,06:42:24,23.866666666666667,-71.075408,42.37195999999987,-71.104452,42.36563099999987,2527.8235438377783
12113,06:43:46,false,120,35000.0,2.2222222222222223,0,package53,true,1,3.933333333333333,06:38:58,06:43:46,4.8,-71.087304,42.362206999999884,-71.090546,42.36188899999986,482.62021631018496
12123,06:44:06,false,120,35000.0,2.2222222222222223,0,package37,true,1,1.2666666666666666,06:20:18,06:44:06,23.8,-71.11823199999999,42.38838799999988,-71.09647904322009,42.366674525000334,3024.131841371541
12137,06:44:34,false,120,35000.0,2.2222222222222223,0,package52,true,1,1.4666666666666666,06:35:30,06:44:34,9.066666666666666,-71.1114,42.36962799999989,-71.10385713609077,42.37289438187524,865.8135293743518
