Cycle,Time,Traditional Scenario,Num Autonomous Bikes,Autonomous Bikes Battery Life,AB PickUp Speed,Num Cars,Agent,Trip Served,Mode,Wait Time (min),Departure Time,Arrival Time,Duration (min),Origin [lat],Origin [lon],Destination [lat],Destination [lon],Distance (m)
1587,00:52:54,false,280,35000.0,2.2222222222222223,0,package0,true,1,2.066666666666667,00:23:06,00:52:54,29.8,-71.086885,42.37212699999988,-71.12392810591183,42.388292994269825,3572.407063507447
1876,01:02:32,false,280,35000.0,2.2222222222222223,0,package1,true,1,1.3333333333333333,01:00:22,01:02:32,2.1666666666666665,-71.11851899999999,42.37028199999989,-71.11994,42.37206899999988,245.02946860035706
2037,01:07:54,false,280,35000.0,2.2222222222222223,0,package2,true,1,1.7333333333333334,01:00:46,01:07:54,7.133333333333334,-71.119396,42.37309199999988,-71.113837,42.37768999999988,744.5826635334597
6559,03:38:38,false,280,35000.0,2.2222222222222223,0,package3,true,1,3.1,03:32:08,03:38:38,6.5,-71.109872,42.36911099999988,-71.11631324605207,42.37241865360796,792.4082112298787
8347,04:38:14,false,280,35000.0,2.2222222222222223,0,package4,true,1,1.2666666666666666,04:29:18,04:38:14,8.933333333333334,-71.120337,42.389246999999884,-71.12309320793717,42.38225684188844,831.0074935570913
8827,04:54:14,false,280,35000.0,2.2222222222222223,0,package5,true,1,0.8,04:46:50,04:54:14,7.4,-71.102333,42.36434299999986,-71.10748925917198,42.357586756743466,919.8938848750672
9704,05:23:28,false,280,35000.0,2.2222222222222223,0,package6,true,1,3.2,05:00:14,05:23:28,23.233333333333334,-71.075326,42.368018999999876,-71.10507469089406,42.36266151562827,2612.31011691558
9769,05:25:38,false,280,35000.0,2.2222222222222223,0,package8,true,1,0.8666666666666667,05:08:54,05:25:38,16.733333333333334,-71.121151,42.37418899999989,-71.1108903,42.359209899999875,1906.2626410251062
9848,05:28:16,false,280,35000.0,2.2222222222222223,0,package7,true,1,0.8666666666666667,05:02:54,05:28:16,25.366666666666667,-71.116945,42.37270799999988,-71.08187540803797,42.372206568575464,2932.689460788504
9894,05:29:48,false,280,35000.0,2.2222222222222223,0,package9,true,1,2.966666666666667,05:23:00,05:29:48,6.8,-71.095093,42.37315399999987,-71.09801169746027,42.37073626287468,700.0976099985592
9916,05:30:32,false,280,35000.0,2.2222222222222223,0,package10,true,1,4.233333333333333,05:27:16,05:30:32,3.2666666666666666,-71.09047,42.36164899999987,-71.0876848536742,42.36321885202476,461.7569288167385
10081,05:36:02,false,280,35000.0,2.2222222222222223,0,package11,true,1,2.033333333333333,05:30:04,05:36:02,5.966666666666667,-71.095093,42.37315399999987,-71.09937807321928,42.37015937794567,689.8370024718132
10088,05:36:16,false,280,35000.0,2.2222222222222223,0,package13,true,1,0.8333333333333334,05:34:52,05:36:16,1.4,-71.116945,42.37270799999988,-71.11631324605207,42.37241865360796,131.19062653062053
10196,05:39:52,false,280,35000.0,2.2222222222222223,0,package12,true,1,4.933333333333334,05:34:58,05:39:52,4.9,-71.09047,42.36164899999987,-71.08743,42.360622999999876,472.27501136883564
10445,05:48:10,false,280,35000.0,2.2222222222222223,0,package15,true,1,2.566666666666667,05:40:36,05:48:10,7.566666666666666,-71.095093,42.37315399999987,-71.08906396371064,42.368771159593265,788.085883142413
10475,05:49:10,false,280,35000.0,2.2222222222222223,0,package16,true,1,2.533333333333333,05:40:34,05:49:10,8.6,-71.09047,42.36164899999987,-71.082562,42.365951999999865,1041.7194727697706
10496,05:49:52,false,280,35000.0,2.2222222222222223,0,package14,true,1,3.6333333333333333,05:39:40,05:49:52,10.2,-71.095093,42.37315399999987,-71.10712890649259,42.369591906262954,1150.3451007168774
10510,05:50:20,false,280,35000.0,2.2222222222222223,0,package17,true,1,3.7,05:41:44,05:50:20,8.6,-71.09047,42.36164899999987,-71.082562,42.365951999999865,1041.7194727697706
10614,05:53:48,false,280,35000.0,2.2222222222222223,0,package22,true,1,0.3,05:51:20,05:53:48,2.466666666666667,-71.07982,42.372245999999876,-71.07753522467306,42.37180641535293,277.0516925573418
10620,05:54:00,false,280,35000.0,2.2222222222222223,0,package18,true,1,3.8666666666666667,05:47:54,05:54:00,6.1,-71.09047,42.36164899999987,-71.09384525746042,42.35731286087455,684.2537750985305
10631,05:54:22,false,280,35000.0,2.2222222222222223,0,package20,true,1,1.2333333333333334,05:51:16,05:54:22,3.1,-71.096228,42.36132899999988,-71.09995580788264,42.36284920658887,391.31370454172213
10672,05:55:44,false,280,35000.0,2.2222222222222223,0,package19,true,1,2.566666666666667,05:47:36,05:55:44,8.133333333333333,-71.095093,42.37315399999987,-71.0961805615228,42.36580942545719,997.7501226866794
10721,05:57:22,false,280,35000.0,2.2222222222222223,0,package27,true,1,1.9,05:55:56,05:57:22,1.4333333333333333,-71.08203500000002,42.36451199999987,-71.081379,42.364368999999876,105.69875945428646
10724,05:57:28,false,280,35000.0,2.2222222222222223,0,package21,true,1,1.6666666666666667,05:52:42,05:57:28,4.766666666666667,-71.08203500000002,42.36451199999987,-71.0861518,42.36727539999986,483.25504537539837
10855,06:01:50,false,280,35000.0,2.2222222222222223,0,package24,true,1,3.066666666666667,05:55:06,06:01:50,6.733333333333333,-71.09047,42.36164899999987,-71.08403299999999,42.36430499999988,790.2106440810712
10966,06:05:32,false,280,35000.0,2.2222222222222223,0,package31,true,1,1.2333333333333334,06:04:16,06:05:32,1.2666666666666666,-71.08259,42.36490999999987,-71.08192419192879,42.36602282408538,159.83687730650792
11007,06:06:54,false,280,35000.0,2.2222222222222223,0,package23,true,1,1.5,05:53:32,06:06:54,13.366666666666667,-71.08203500000002,42.36451199999987,-71.097672,42.36956499999988,1464.8087462789924
11065,06:08:50,false,280,35000.0,2.2222222222222223,0,package26,true,1,2.8666666666666667,05:56:54,06:08:50,11.933333333333334,-71.095093,42.37315399999987,-71.08357027180823,42.36852678416375,1251.0367616210206
11132,06:11:04,false,280,35000.0,2.2222222222222223,0,package33,true,1,0.9666666666666667,06:11:00,06:11:04,0.06666666666666667,-71.120423,42.37202699999988,-71.11994,42.37206899999988,48.18097637980216
11194,06:13:08,false,280,35000.0,2.2222222222222223,0,package29,true,1,4.433333333333334,06:06:28,06:13:08,6.666666666666667,-71.11823199999999,42.38838799999988,-71.11244918435035,42.3821615527478,864.9930749628223
11325,06:17:30,false,280,35000.0,2.2222222222222223,0,package34,true,1,2.6,06:13:38,06:17:30,3.8666666666666667,-71.083318,42.37128099999988,-71.08160981849095,42.368220244450875,387.16222678872185
11426,06:20:52,false,280,35000.0,2.2222222222222223,0,package25,true,1,2.2666666666666666,05:56:18,06:20:52,24.566666666666666,-71.119372,42.38941499999988,-71.13475799999999,42.373949999999866,2342.486213993715
11440,06:21:20,false,280,35000.0,2.2222222222222223,0,package36,true,1,0.5666666666666667,06:19:36,06:21:20,1.7333333333333334,-71.10085699999999,42.36402499999988,-71.099631,42.36357899999989,154.9103271090131
11493,06:23:06,false,280,35000.0,2.2222222222222223,0,package38,true,1,1.0333333333333334,06:20:04,06:23:06,3.033333333333333,-71.07982,42.372245999999876,-71.08106080687463,42.36996724548553,350.59749138542963
11538,06:24:36,false,280,35000.0,2.2222222222222223,0,package32,true,1,7.233333333333333,06:13:16,06:24:36,11.333333333333334,-71.09047,42.36164899999987,-71.103274,42.354987999999885,1329.7944172269022
11566,06:25:32,false,280,35000.0,2.2222222222222223,0,package28,true,1,0.6333333333333333,06:01:40,06:25:32,23.866666666666667,-71.103734,42.365674999999875,-71.13205575888934,42.381922062201426,2977.4978288054144
11666,06:28:52,false,280,35000.0,2.2222222222222223,0,package44,true,1,2.3666666666666667,06:27:24,06:28:52,1.4666666666666666,-71.1114,42.36962799999989,-71.1131418,42.36995179999989,196.786817989578
11691,06:29:42,false,280,35000.0,2.2222222222222223,0,package43,true,1,2.4,06:27:26,06:29:42,2.2666666666666666,-71.077794,42.36981699999988,-71.0773,42.37058199999989,148.86398655168264
11695,06:29:50,false,280,35000.0,2.2222222222222223,0,package30,true,1,2.7333333333333334,06:04:46,06:29:50,25.066666666666666,-71.08247,42.363322999999895,-71.11301374746243,42.35840397355081,2752.101498083049
11717,06:30:34,false,280,35000.0,2.2222222222222223,0,package45,true,1,1.9666666666666666,06:27:00,06:30:34,3.566666666666667,-71.118965,42.373370999999885,-71.117438,42.371218999999876,354.5232344332372
11730,06:31:00,false,280,35000.0,2.2222222222222223,0,package46,true,1,2.2,06:29:14,06:31:00,1.7666666666666666,-71.1114,42.36962799999989,-71.11003869562896,42.37038224387264,190.48263533199685
11753,06:31:46,false,280,35000.0,2.2222222222222223,0,package40,true,1,1.5333333333333334,06:24:34,06:31:46,7.2,-71.071562,42.367712999999895,-71.07850063191331,42.366242412403096,803.930468657746
11855,06:35:10,false,280,35000.0,2.2222222222222223,0,package49,true,1,0.5666666666666667,06:30:36,06:35:10,4.566666666666666,-71.06882399999999,42.36985899999988,-71.07410300000001,42.37171299999988,549.898927564703
